,Country,hoeveelheid,hoeveelheid2
0,usa,2310,3.3636119798921444
1,australia,1374,3.137986732723532
2,south africa,585,2.7671558660821804
3,papua new guinea,135,2.130333768495006
4,new zealand,135,2.130333768495006
5,bahamas,115,2.060697840353612
6,brazil,113,2.0530784434834195
7,mexico,95,1.9777236052888478
8,italy,71,1.8512583487190752
9,fiji,62,1.792391689498254
10,philippines,62,1.792391689498254
11,reunion,60,1.7781512503836436
12,new caledonia,56,1.7481880270062005
13,cuba,46,1.662757831681574
14,mozambique,44,1.6434526764861874
15,spain,44,1.6434526764861874
16,egypt,42,1.6232492903979006
17,india,40,1.6020599913279623
18,japan,34,1.5314789170422551
19,croatia,34,1.5314789170422551
20,panama,32,1.505149978319906
21,solomon islands,30,1.4771212547196624
22,iran,29,1.462397997898956
23,jamaica,27,1.4313637641589874
24,french polynesia,27,1.4313637641589874
25,greece,25,1.3979400086720377
26,hong kong,24,1.380211241711606
27,england,23,1.3617278360175928
28,indonesia,23,1.3617278360175928
29,pacific ocean,19,1.2787536009528289
30,tonga,18,1.255272505103306
31,costa rica,17,1.2304489213782739
32,atlantic ocean,17,1.2304489213782739
33,bermuda,16,1.2041199826559248
34,vietnam,15,1.1760912590556813
35,sri lanka,14,1.146128035678238
36,vanuatu,14,1.146128035678238
37,france,13,1.1139433523068367
38,marshall islands,13,1.1139433523068367
39,canada,12,1.0791812460476249
40,turkey,12,1.0791812460476249
41,south atlantic ocean,12,1.0791812460476249
42,iraq,12,1.0791812460476249
43,senegal,11,1.0413926851582251
44,united kingdom,11,1.0413926851582251
45,venezuela,11,1.0413926851582251
46,kenya,10,1.0
47,mauritius,10,1.0
48,new guinea,10,1.0
49,thailand,9,0.9542425094393249
50,taiwan,9,0.9542425094393249
51,yemen,9,0.9542425094393249
52,ecuador,9,0.9542425094393249
53,china,9,0.9542425094393249
54,columbia,9,0.9542425094393249
55,seychelles,8,0.9030899869919435
56,samoa,8,0.9030899869919435
57,chile,8,0.9030899869919435
58,israel,8,0.9030899869919435
59,caribbean sea,8,0.9030899869919435
60,madagascar,8,0.9030899869919435
61,sierra leone,8,0.9030899869919435
62,scotland,8,0.9030899869919435
63,south korea,8,0.9030899869919435
64,tanzania,8,0.9030899869919435
65,nicaragua,7,0.8450980400142568
66,indian ocean,7,0.8450980400142568
67,dominican republic,7,0.8450980400142568
68,north pacific ocean,7,0.8450980400142568
69,libya,6,0.7781512503836436
70,barbados,6,0.7781512503836436
71,new britain,6,0.7781512503836436
72,okinawa,6,0.7781512503836436
73,singapore,6,0.7781512503836436
74,somalia,6,0.7781512503836436
75,kiribati,6,0.7781512503836436
76,palau,5,0.6989700043360189
77,turks & caicos,5,0.6989700043360189
78,malta,5,0.6989700043360189
79,reunion island,5,0.6989700043360189
80,saudi arabia,5,0.6989700043360189
81,north atlantic ocean,5,0.6989700043360189
82,mid atlantic ocean,5,0.6989700043360189
83,malaysia,5,0.6989700043360189
84,azores,5,0.6989700043360189
85,el salvador,4,0.6020599913279624
86,russia,4,0.6020599913279624
87,honduras,4,0.6020599913279624
88,burma,4,0.6020599913279624
89,guam,4,0.6020599913279624
90,persian gulf,4,0.6020599913279624
91,sudan,4,0.6020599913279624
92,nigeria,4,0.6020599913279624
93,grenada,4,0.6020599913279624
94,uruguay,4,0.6020599913279624
95,trinidad & tobago,3,0.47712125471966244
96,tunisia,3,0.47712125471966244
97,micronesia,3,0.47712125471966244
98,portugal,3,0.47712125471966244
99,montenegro,3,0.47712125471966244
100,fiji,3,0.47712125471966244
101,belize,3,0.47712125471966244
102,cape verde,3,0.47712125471966244
103,martinique,3,0.47712125471966244
104,ceylon,3,0.47712125471966244
105,guyana,3,0.47712125471966244
106,liberia,3,0.47712125471966244
107,lebanon,3,0.47712125471966244
108,haiti,3,0.47712125471966244
109,american samoa,3,0.47712125471966244
110,guinea,3,0.47712125471966244
111,united arab emirates,2,0.3010299956639812
112,central pacific,2,0.3010299956639812
113,"st helena, british overseas territory",2,0.3010299956639812
114,crete,2,0.3010299956639812
115,south pacific ocean,2,0.3010299956639812
116,norway,2,0.3010299956639812
117,johnston island,2,0.3010299956639812
118,southwest pacific ocean,2,0.3010299956639812
119,iceland,2,0.3010299956639812
120,united arab emirates (uae),2,0.3010299956639812
121,west indies,2,0.3010299956639812
122,antigua,2,0.3010299956639812
123,cayman islands,2,0.3010299956639812
124,mediterranean sea,2,0.3010299956639812
125,tobago,2,0.3010299956639812
126,namibia,2,0.3010299956639812
127,slovenia,1,0.0
128,western samoa,1,0.0
129,british isles,1,0.0
130,south china sea,1,0.0
131,british new guinea,1,0.0
132,between portugal & india,1,0.0
133,british virgin islands,1,0.0
134,solomon islands / vanuatu,1,0.0
135,bay of bengal,1,0.0
136,british west indies,1,0.0
137,sudan?,1,0.0
138,bangladesh,1,0.0
139,st. maartin,1,0.0
140,argentina,1,0.0
141,angola,1,0.0
142,aruba,1,0.0
143,andaman islands,1,0.0
144,the balkans,1,0.0
145,asia?,1,0.0
146,andaman / nicobar islandas,1,0.0
147,bahrein,1,0.0
148,sierra leone,1,0.0
149,seychelles,1,0.0
150,syria,1,0.0
151,sweden,1,0.0
152,tuvalu,1,0.0
153,algeria,1,0.0
154,st. martin,1,0.0
155,tasman sea,1,0.0
156,iran / iraq,1,0.0
157,san domingo,1,0.0
158,ceylon (sri lanka),1,0.0
159,federated states of micronesia,1,0.0
160,nevis,1,0.0
161,netherlands antilles,1,0.0
162,gabon,1,0.0
163,monaco,1,0.0
164,mid-pacifc ocean,1,0.0
165,georgia,1,0.0
166,ghana,1,0.0
167,mayotte,1,0.0
168,grand cayman,1,0.0
169,greenland,1,0.0
170,maldives,1,0.0
171,maldive islands,1,0.0
172,africa,1,0.0
173,guatemala,1,0.0
174,kuwait,1,0.0
175,korea,1,0.0
176,gulf of aden,1,0.0
177,java,1,0.0
178,italy / croatia,1,0.0
179,ireland,1,0.0
180,falkland islands,1,0.0
181,equatorial guinea / cameroon,1,0.0
182,egypt / israel,1,0.0
183,peru,1,0.0
184,roatan,1,0.0
185,colombia,1,0.0
186,comoros,1,0.0
187,red sea?,1,0.0
188,red sea / indian ocean,1,0.0
189,red sea,1,0.0
190,puerto rico,1,0.0
191,indian ocean?,1,0.0
192,cook islands,1,0.0
193,paraguay,1,0.0
194,djibouti,1,0.0
195,curacao,1,0.0
196,palestinian territories,1,0.0
197,cyprus,1,0.0
198,coast of africa,1,0.0
199,diego garcia,1,0.0
200,ocean,1,0.0
201,northern mariana islands,1,0.0
202,northern arabian sea,1,0.0
203,north sea,1,0.0
204,admiralty islands,1,0.0
